ID,Title,Slug,Price,Sale Price,Stock Status,Inventory,Categories,Usages,Tones,Tags,Attributes,Image URL,Short Description,Description
"2000100493663","ACETATO SUBLIMADO","acetato-sublimado","12000","","outOfStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/af1039e0cd8157131255a5b1b15d0d824d03fd86-480x640.jpg","95% POLIÉSTER/ 5% SPANDEX","<span style=""font-weight: 400;"">Nuestra tela Acetato Sublimado es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.</span>
\n
\n<span style=""font-weight: 400;"">Cuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.</span>
\n
\n<b>Ideal para:</b><span style=""font-weight: 400;""> blusas, palazzos, camisetas, enterizos, vestidos y faldas.</span>"
"2000100493664","ACETATO AZUL CIELO C#45","acetato-azul-cielo-c45","8000","6500","inStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/c7b89b86043369bf6a941181692eb38b5bfb5c06-640x640.jpg","95% POLIÉSTER/ 5% SPANDEX","Nuestra tela Acetato Azul Cielo es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.
\n
\nCuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.
\n
\n<strong>Ideal para:</strong> blusas, palazzos, camisetas, enterizos, vestidos y faldas."
"2000100493665","ACETATO AZUL OSCURO C#21","acetato-azul-oscuro-c21","8000","6500","outOfStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/9da5c356d66c359aba9e62d59d288d8387b88185-480x640.jpg","95% POLIÉSTER/ 5% SPANDEX","<span style=""font-weight: 400;"">Nuestra tela Acetato Azul Oscuro es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.</span>
\n
\n<span style=""font-weight: 400;"">Cuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.</span>
\n
\n<b>Ideal para:</b><span style=""font-weight: 400;""> blusas, palazzos, camisetas, enterizos, vestidos y faldas.</span>"
"2000100493666","ACETATO AZUL REY C#19","acetato-azul-rey-c19","8000","6500","inStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/21d0de2a4a58324b8c26f661c8963e5bdacbc545-640x626.jpg","95% POLIÉSTER/ 5% SPANDEX","Nuestra tela Acetato Azul Rey es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.
\n
\nCuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.
\n
\n<strong>Ideal para:</strong> blusas, palazzos, camisetas, enterizos, vestidos y faldas."
"2000100493667","ACETATO BLANCO C#24","acetato-blanco-c24","8000","","outOfStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/030d196e436127bb11fd9a009e3ec488463d4b8d-640x640.jpg","95% POLIÉSTER/ 5% SPANDEX","<span style=""font-weight: 400;"">Nuestra tela Acetato Blanco es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.</span>
\n
\n<span style=""font-weight: 400;"">Cuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.</span>
\n
\n<b>Ideal para:</b><span style=""font-weight: 400;""> blusas, palazzos, camisetas, enterizos, vestidos y faldas.</span>"
"2000100493668","ACETATO CORAL C#8","acetato-coral-c8","8000","6500","outOfStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/b4a0c4a643f9263671954d7c390de41bd336296d-640x640.jpg","95% POLIÉSTER/ 5% SPANDEX","<span style=""font-weight: 400;"">Nuestra tela Acetato Coral es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.</span>
\n
\n<span style=""font-weight: 400;"">Cuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.</span>
\n
\n<b>Ideal para:</b><span style=""font-weight: 400;""> blusas, palazzos, camisetas, enterizos, vestidos y faldas.</span>"
"2000100493669","ACETATO CRUDO PFD","acetato-crudo-pfd","8000","6500","inStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/374b0b886109d7e681ddc7d9a186de431dfebf58-627x640.jpg","95% POLIÉSTER/ 5% SPANDEX","Nuestra tela Acetato Crudo PFD es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.
\n
\nCuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.
\n
\n<strong>Ideal para:</strong> blusas, palazzos, camisetas, enterizos, vestidos y faldas."
"2000100493670","ACETATO FUCSIA C# 9","acetato-fucsia-c-9","8000","6500","outOfStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/895fbe93b10592ce1f3fd4208bf2ff0daa406abd-640x640.jpg","95% POLIÉSTER/ 5% SPANDEX","<span style=""font-weight: 400;"">Nuestra tela Acetato Fucsia es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.</span>
\n
\n<span style=""font-weight: 400;"">Cuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.</span>
\n
\n<b>Ideal para:</b><span style=""font-weight: 400;""> blusas, palazzos, camisetas, enterizos, vestidos y faldas.</span>"
"2000100493671","ACETATO GRIS CLARO C#54","acetato-gris-claro-c54","8000","6500","outOfStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/81bb07e9d11ca4ef2e22e2ab1ee86a61229c4d00-640x640.jpg","95% POLIÉSTER/ 5% SPANDEX","<span style=""font-weight: 400;"">Nuestra tela Acetato Gris Claro es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.</span>
\n
\n<span style=""font-weight: 400;"">Cuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.</span>
\n
\n<b>Ideal para:</b><span style=""font-weight: 400;""> blusas, palazzos, camisetas, enterizos, vestidos y faldas.</span>"
"2000100493672","ACETATO GRIS OSCURO C#46","acetato-gris-oscuro-c46","8000","6500","inStock","","","","","","Ancho: 1.55 metros | Composición: 95% Poliester / 5% Spandex | Elasticidad: Alta","https://cdn.sanity.io/images/tbk0k9ou/production/d0ebbca108576eb653b44feb3e5a8f8cc7747c84-640x640.jpg","95% POLIÉSTER/ 5% SPANDEX","Nuestra tela Acetato Gris Oscuro es un tejido de punto de excelente calidad, ideal para la confección de prendas cómodas y frescas. Su suavidad al tacto y acabado ligero brindan confort y una apariencia fluida, perfecta para colecciones casuales y femeninas.
\n
\nCuenta con un ancho de 1.55 metros y un gramaje de 210 g/m², ofreciendo un balance ideal entre ligereza y resistencia, con mayor rendimiento. Gracias a su composición 95% poliéster y 5% spandex, es una tela fresca, flexible y de fácil mantenimiento: no se encoge, es de secado rápido, fácil lavado y de alta durabilidad, conservando su forma y calidad con el uso.
\n
\n<strong>Ideal para:</strong> blusas, palazzos, camisetas, enterizos, vestidos y faldas."
